State,County,Violent_crime,MNNM,"Rape
(revised 
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
Washington,Mason,82,1,13,,7,61,"1,273",550,613,110,1
Washington,Okanogan,34,5,4,,3,22,413,155,223,35,2
Washington,Pacific,28,0,2,,1,25,321,161,144,16,2
Washington,Wahkiakum,3,0,0,,0,3,28,9,17,2,0
Washington,Whitman,14,0,4,,2,8,63,22,37,4,0
West Virginia,Boone,10,0,0,,0,10,84,26,48,10,1
West Virginia,Brooke,6,0,2,,2,2,100,45,46,9,0
West Virginia,Fayette,67,0,13,,7,47,346,140,188,18,7
West Virginia,Hampshire,61,0,2,,0,59,80,50,28,2,0
West Virginia,Hancock,10,0,4,,1,5,64,30,28,6,2
West Virginia,Jefferson,29,0,7,,4,18,315,51,259,5,0
West Virginia,Marshall,38,0,3,,1,34,162,70,81,11,0
West Virginia,Mineral,11,0,1,,0,10,22,7,11,4,1
West Virginia,Monongalia,91,1,7,,3,80,359,74,262,23,1
West Virginia,Ohio,28,0,4,,1,23,281,81,191,9,0
West Virginia,Preston,42,0,3,,1,38,119,39,66,14,1
West Virginia,Putnam,103,0,3,,1,99,297,56,219,22,1
West Virginia,Wayne,34,0,1,,3,30,148,67,78,3,1
West Virginia,Wirt,6,0,0,,0,6,34,15,17,2,1
West Virginia,Wood,97,0,11,,0,86,313,135,160,18,3
West Virginia,Braxton,10,0,1,,0,9,61,18,41,2,0
West Virginia,Grant,3,0,0,,0,3,13,7,6,0,0
West Virginia,Greenbrier,5,0,0,,1,4,91,22,62,7,0
West Virginia,Hardy,9,0,1,,0,8,6,2,4,0,0
West Virginia,Harrison,62,1,2,,8,51,237,81,141,15,5
West Virginia,Jackson,67,0,2,,0,65,58,21,36,1,1
West Virginia,Lewis,1,0,1,,0,0,65,22,42,1,0
West Virginia,Logan,84,0,0,,0,84,68,18,42,8,1
West Virginia,Marion,85,0,2,,1,82,64,40,21,3,2
West Virginia,Mason,7,1,1,,0,5,116,0,101,15,1
West Virginia,McDowell,20,3,1,,2,14,80,40,31,9,3
West Virginia,Mingo,6,0,0,,0,6,1,0,0,1,0
West Virginia,Monroe,5,0,0,,0,5,77,27,50,0,0
West Virginia,Morgan,24,1,4,,1,18,48,19,28,1,1
West Virginia,Nicholas,119,1,2,,3,113,166,41,120,5,0
West Virginia,Pleasants,5,0,3,,0,2,21,4,15,2,1
West Virginia,Randolph,38,1,0,,0,37,52,19,31,2,0
West Virginia,Ritchie,5,1,0,,0,4,23,10,13,0,0
West Virginia,Roane,18,2,1,,0,15,61,0,55,6,0
West Virginia,Summers,0,0,0,,0,0,0,0,0,0,0
West Virginia,Taylor,0,0,0,,0,0,16,5,9,2,0
West Virginia,Tyler,11,1,2,,0,8,43,10,33,0,1
West Virginia,Upshur,0,0,0,,0,0,54,16,36,2,0
West Virginia,Wetzel,2,0,0,,0,2,12,2,10,0,0
West Virginia,Wyoming,78,0,1,,1,76,189,77,105,7,1
Wisconsin,Brown,84,0,,9,11,64,"1,101",190,885,26,0
Wisconsin,Calumet,11,0,0,,0,11,110,37,67,6,0
Wisconsin,Chippewa,14,0,9,,1,4,346,93,235,18,1
Wisconsin,Columbia,34,2,13,,0,19,297,89,191,17,1
Wisconsin,Dane,43,2,7,,9,25,756,197,523,36,0
Wisconsin,Douglas,10,0,,3,3,4,368,172,176,20,0
Wisconsin,Eau Claire,13,0,,2,2,9,218,71,141,6,0
Wisconsin,Fond du Lac,28,0,8,,4,16,265,99,158,8,8
Wisconsin,Green,9,0,,2,0,7,125,34,85,6,0
Wisconsin,Iowa,10,0,4,,0,6,78,17,54,7,0
Wisconsin,Kenosha,32,0,,7,2,23,533,127,375,31,4
Wisconsin,Kewaunee,5,0,2,,0,3,95,37,53,5,0
Wisconsin,La Crosse,12,0,0,,0,12,144,26,106,12,0
Wisconsin,Marathon,16,0,,1,1,14,436,130,296,10,2
Wisconsin,Milwaukee,25,0,3,,10,12,181,9,146,26,2
Wisconsin,Outagamie,23,0,5,,1,17,310,92,207,11,2
Wisconsin,Ozaukee,23,0,,10,1,12,191,49,130,12,0
Wisconsin,Pierce,12,0,,1,0,11,181,64,113,4,0
Wisconsin,Racine,12,0,,2,3,7,422,77,329,16,0
Wisconsin,Rock,42,1,,9,2,30,352,160,172,20,2
Wisconsin,Sheboygan,22,0,,6,4,12,424,50,355,19,4
Wisconsin,St. Croix,24,1,2,,1,20,344,97,225,22,1
Wisconsin,Washington,38,0,,5,8,25,402,96,285,21,1
Wisconsin,Waukesha,45,0,,2,9,34,558,125,409,24,0
Wisconsin,Winnebago,17,0,,0,1,16,238,65,167,6,0
Wisconsin,Adams,45,1,,9,2,33,471,169,284,18,1
Wisconsin,Ashland,14,0,,0,0,14,41,16,22,3,0
Wisconsin,Barron,1,0,0,,1,0,138,47,81,10,2
Wisconsin,Bayfield,21,2,,1,1,17,137,74,60,3,0
Wisconsin,Buffalo,0,0,,0,0,0,43,3,34,6,0
Wisconsin,Burnett,23,0,1,,2,20,625,435,173,17,3
Wisconsin,Clark,15,2,0,,1,12,184,71,97,16,5
Wisconsin,Dodge,17,0,1,,1,15,231,82,137,12,0
Wisconsin,Door,9,0,2,,1,6,133,37,94,2,1
Wisconsin,Dunn,28,0,,8,0,20,166,48,97,21,1
Wisconsin,Florence,9,0,,0,0,9,86,27,54,5,0
Wisconsin,Forest,24,0,,8,0,16,133,32,97,4,0
Wisconsin,Grant,29,0,4,,1,24,199,88,101,10,0
Wisconsin,Green Lake,4,0,,1,0,3,92,19,66,7,0
Wisconsin,Iron,8,0,,1,1,6,53,18,33,2,0
Wisconsin,Jackson,26,0,,16,5,5,125,14,99,12,0
Wisconsin,Jefferson,33,0,,1,3,29,335,73,249,13,5
Wisconsin,Juneau,33,0,5,,2,26,282,87,186,9,0
Wisconsin,Lafayette,6,3,,0,0,3,118,17,90,11,0
Wisconsin,Langlade,6,0,,0,0,6,188,71,107,10,0
Wisconsin,Lincoln,11,1,1,,0,9,128,58,65,5,1
Wisconsin,Manitowoc,13,0,2,,0,11,160,56,94,10,3
Wisconsin,Marinette,13,1,,4,2,6,362,185,164,13,2
Wisconsin,Marquette,4,0,3,,1,0,124,38,80,6,0
Wisconsin,Menominee,5,0,,1,0,4,33,16,15,2,0
Wisconsin,Monroe,9,0,2,,0,7,194,41,141,12,1
Wisconsin,Oneida,28,0,3,,0,25,186,57,123,6,0
Wisconsin,Pepin,3,0,,1,0,2,36,15,18,3,1
Wisconsin,Polk,78,0,,9,2,67,282,92,172,18,0
Wisconsin,Portage,21,0,3,,0,18,230,98,119,13,1
Wisconsin,Price,13,0,1,,0,12,97,13,78,6,1
Wisconsin,Richland,0,0,,0,0,0,39,35,0,4,0
Wisconsin,Rusk,13,0,3,,0,10,89,27,56,6,1
Wisconsin,Sauk,18,0,13,,0,5,441,85,341,15,1
Wisconsin,Sawyer,23,1,2,,0,20,202,61,125,16,0
Wisconsin,Shawano,9,0,,3,0,6,342,116,205,21,0
Wisconsin,Taylor,27,0,,16,0,11,114,30,73,11,1
Wisconsin,Trempealeau,7,0,,2,0,5,93,22,61,10,0
Wisconsin,Vernon,16,0,,0,0,16,152,59,88,5,0
Wisconsin,Vilas,10,0,4,,0,6,150,43,98,9,0
Wisconsin,Walworth,5,0,,1,0,4,230,50,163,17,1
Wisconsin,Washburn,11,0,2,,1,8,264,93,167,4,0
Wisconsin,Waupaca,3,0,,0,0,3,435,129,280,26,1
Wisconsin,Waushara,19,0,,11,1,7,232,43,180,9,3
Wisconsin,Wood,4,0,,0,1,3,179,69,103,7,0
Wyoming,Laramie,61,0,,8,1,52,540,151,361,28,2
Wyoming,Natrona,34,1,,4,0,29,191,32,141,18,0
Wyoming,Albany,6,0,,0,0,6,55,7,45,3,0
Wyoming,Big Horn,4,0,,4,0,0,24,8,14,2,0
Wyoming,Campbell,21,0,,2,1,18,220,51,148,21,0
Wyoming,Carbon,7,0,,0,0,7,78,6,71,1,0
Wyoming,Converse,9,0,,5,0,4,53,4,45,4,0
Wyoming,Crook,0,0,,0,0,0,36,8,25,3,0
Wyoming,Fremont,25,5,,2,0,18,201,51,142,8,0
Wyoming,Goshen,12,0,,0,0,12,67,25,40,2,0
Wyoming,Hot Springs,2,0,,0,0,2,28,3,21,4,0
Wyoming,Johnson,1,0,,0,0,1,35,3,30,2,0
Wyoming,Lincoln,8,0,,4,1,3,85,14,70,1,1
Wyoming,Niobrara,0,0,,0,0,0,5,2,3,0,1
Wyoming,Park,42,3,,9,0,30,71,17,52,2,0
Wyoming,Platte,2,0,,0,0,2,36,16,17,3,0
Wyoming,Sheridan,1,0,,0,0,1,39,7,30,2,1
Wyoming,Sublette,14,0,,1,0,13,119,13,101,5,0
Wyoming,Sweetwater,20,0,,2,0,18,111,25,73,13,3
Wyoming,Uinta,0,0,,0,0,0,68,3,62,3,0
Wyoming,Washakie,1,0,,0,0,1,3,0,3,0,0
Wyoming,Weston,2,0,,0,0,2,12,6,3,3,0
1 The figures shown in this column for the offense of rape were reported using the revised Uniform Crime Reporting (UCR) definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,
2 The figures shown in this column for the offense of rape were reported using the legacy UCR definition of rape.  See Data Declaration for further explanation.,,,,,,,,,,,,
3 The FBI does not publish arson data unless it receives data from either the agency or the state for all 12 months of the calendar year.,,,,,,,,,,,,
"4 The FBI determined that the agency's data were underreported.  Consequently, those data are not included in this table.",,,,,,,,,,,,
"5 The FBI determined that the agency's data were overreported.  Consequently, those data are not included in this table.",,,,,,,,,,,,
"6 This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See Data Declaration for further explanation.",,,,,,,,,,,,
"7 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data. ",,,,,,,,,,,,
